Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007
"060750166021","Block Group 1, Census Tract 166.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"016602","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750166021","Block Group 1",,,,218394,988,197,700,52,39,0,0
"060750167001","Block Group 1, Census Tract 167, San Francisco County, California","ca","150","00",,,,"06","075",,,"016700","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750167001","Block Group 1",,,,245341,670,178,353,139,0,0,0
"060750167002","Block Group 2, Census Tract 167, San Francisco County, California","ca","150","00",,,,"06","075",,,"016700","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750167002","Block Group 2",,,,,293,77,184,32,0,0,0
"060750167003","Block Group 3, Census Tract 167, San Francisco County, California","ca","150","00",,,,"06","075",,,"016700","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750167003","Block Group 3",,,,250001,634,286,156,192,0,0,0
"060750167004","Block Group 4, Census Tract 167, San Francisco County, California","ca","150","00",,,,"06","075",,,"016700","4",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750167004","Block Group 4",,,,233947,718,338,245,120,15,0,0
"060750168011","Block Group 1, Census Tract 168.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"016801","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750168011","Block Group 1",,,,238958,582,286,177,49,15,0,55
"060750168012","Block Group 2, Census Tract 168.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"016801","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750168012","Block Group 2",,,,87200,576,332,205,35,4,0,0
"060750168013","Block Group 3, Census Tract 168.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"016801","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750168013","Block Group 3",,,,218011,839,426,375,33,0,5,0
"060750168021","Block Group 1, Census Tract 168.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"016802","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750168021","Block Group 1",,,,150667,782,466,282,34,0,0,0
"060750168022","Block Group 2, Census Tract 168.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"016802","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750168022","Block Group 2",,,,73693,485,252,205,28,0,0,0
