OBJECTID,GF_SEQ_ID,BATCH_ID,ACTION,LAMP_1_ACTION,LAMP_2_ACTION,LAMP_3_ACTION,ASSETNUM,POLE_TYPE,POLE_NUMBER,POLE_OWNER,ARM_LENGTH,MATERIAL,MATERIAL_REF_ID,POSITION_X,POSITION_Y,L1_WATT,L1_TYPE,L1_LUMINAIRE,L1_SIDE,L1_RTI_ID,L2_WATT,L2_TYPE,L2_LUMINAIRE,L2_SIDE,L2_RTI_ID,L3_WATT,L3_TYPE,L3_LUMINAIRE,L3_SIDE,L3_RTI_ID,STREET_NAME,STREET_TYPE,STREET_ADDRESS,STREET_BLOCK,ASSESSOR_PARCEL_NUMBER,PROJECT,NOTES,STATUS,DISTRICT,NEIGHBORHOOD,EQUIPMENT_ACCEPT_DT,ASSET_DATA_INTEGRATION_DT,EQUIPMENT_CHANGE_DT,EQUIPMENT_REMOVE_DT,CALC_EQUIPMENT_ACCEPT_DT,CALC_EQUIPMENT_CHANGE_DT,CALC_EQUIPMENT_REMOVE_DT,CALC_EQUIPMENT_ACCEPT_IP_ID,CALC_EQUIPMENT_CHANGE_IP_ID,CALC_EQUIPMENT_REMOVE_IP_ID,CALC_DATA_INTEGRATION_DT,GLOBALID,CreationDate,Creator,EditDate,Editor,geometryType,x,y,crs,Longitude,Latitude
168704,14445,1279,none,none,none,none,J03P0052,TP-StdSteel,322,,,Steel,,5984596.197,2105692.2704,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,3200,3200.0,1700.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,7e773743-a317-4b0f-b132-7ffc8837fdbc,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984596.196875,2105692.270625,102643,53.76054232936374,18.581215002621366
168705,14446,1279,none,none,none,none,J03P0053,TP-StdSteel,323,,,Steel,,5984502.8571,2105621.7602,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,3225/3219,3200.0,1800.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,09fb71a5-7948-4978-b32e-f0a3241b1b73,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984502.856875,2105621.76,102643,53.75970384187753,18.580614611529256
168706,14447,1279,none,none,none,none,J03P0054,TP-StdSteel,324,,,Steel,,5984489.0628,2105688.307,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,3224,3200.0,1700.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,973c8cd8-a8f1-4874-a471-1ae07cd025fc,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984489.0625,2105688.306875,102643,53.75957992489855,18.581181251732964
168707,14448,1279,none,none,none,none,J03P0055,TP-StdSteel,325,,,Steel,,5984381.9535,2105617.5645,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,3245,3200.0,1800.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,ff45c763-ea64-4630-9444-a8c8c1d96de6,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984381.95375,2105617.564375,102643,53.75861775062669,18.58057888612509
168708,14449,1279,none,none,none,none,J03P0056,TP-StdSteel,326,,,Steel,,5984388.78,2105685.124,54,LED,RoadFocus,R,5711,,,,,,,,,,,JUDAH,ST,3250,3200.0,1700.0,LED SLight Conversion Project..,,ACTIVE,4.0,Neighborhood),,,1498824060000.0,,,,,,,,,ea3bd7cc-47ad-4ab6-94d9-3dd5c10d5a1a,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5984388.78,2105685.12375,102643,53.758679071873765,18.581154147774384
168709,14246,1279,none,none,none,none,I13P0168,SL-MBRndSteel,196,,,Steel,,6015166.0022,2106571.5685,150,MH,OMEGA SERIES,R,5063,,,,,,,,,,,04TH,ST,,,,MB-Fourth St. Public Improvements,"Determination of Completeness..
(asof 2019Jun12)",ACTIVE,,,1560340860000.0,1592308860000.0,,,,,,,,,,b4cd22fc-cf09-49e8-a127-d83a39995663,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,6015166.0025,2106571.56875,102643,54.03515556561874,18.588701962703897
168710,14650,1279,none,none,none,none,J06P0045,SL-RndSteel,12,,,Steel,,5994568.3589,2105348.2947,100,HP,Lumec Post Top,R,5049,,,,,,,,,,,KIRKHAM,ST,,100.0,1800.0,UGD-327 Inner Sunset/Ph 2,,ACTIVE,5.0,Neighborhood),1146744060000.0,,,,,,,,,,,7df6ea7c-2b69-41ae-bbd1-14619654b6ba,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5994568.35875,2105348.295,102643,53.850123783644,18.57828606372982
168711,14647,1279,none,none,none,none,J06P0042,SL-StdSteel,47,,,Steel,,5995235.3614,2104642.8447,54,LED,RoadFocus,R,5711,,,,,,,,,,,CRESTMONT,DR,491/495,400.0,2600.0,LED SLight Conversion by Grid..,,ACTIVE,7.0,Neighborhood),,,1512734460000.0,,,,,,,,,f913b78b-68cd-4b45-8a1d-d790c8da8ef6,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5995235.36125,2104642.845,102643,53.85611556904696,18.572279027343424
168712,14648,1279,none,none,none,none,J06P0043,SL-StdSteel,52,,,Steel,,5995299.1352,2104751.4391,54,LED,RoadFocus,R,5711,,,,,,,,,,,CRESTMONT,DR,,500.0,2600.0,LED SLight Conversion by Grid..,,ACTIVE,7.0,Neighborhood),,,1512734460000.0,,,,,,,,,7d744378-ced3-43d2-96dd-411559864c3e,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5995299.135,2104751.439375,102643,53.85668845839046,18.57320374218426
168713,14649,1279,none,none,none,none,J06P0044,SL-RndSteel,11,,,Steel,,5994329.7494,2105283.2549,100,HP,Lumec Post Top,R,5049,,,,,,,,,,,KIRKHAM,ST,,100.0,1800.0,UGD-327 Inner Sunset/Ph 2,,ACTIVE,7.0,Neighborhood),1146744060000.0,,,,,,,,,,,0ce421ed-36e5-44f6-8c64-36449a13b5c5,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5994329.749375,2105283.255,102643,53.84798031915902,18.57773224503514
