Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts
2024/05/16 03:00:00 PM,2024/05/16,03:00 PM,2024,Thursday,2024/05/16 07:42:00 PM,139103206363,1391032,240308858,241372242.0,II,Initial,,6363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Cite or Arrest Adult,OFARRELL ST \ POWELL ST,24904000.0,Central,Tenderloin,3.0,3.0,37.78641128540039,-122.40803527832033,POINT (-122.40803527832031 37.78641128540039),19.0,,,,,,3.0,6.0
2024/05/17 06:00:00 PM,2024/05/17,06:00 PM,2024,Friday,2024/05/17 06:50:00 PM,139126204022,1391262,240310875,241382825.0,II,Initial,,4022,Assault,Aggravated Assault,"Assault, Att. Homicide, W/ Knife",Open or Active,03RD ST \ MENDELL ST \ PALOU AVE,33269000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.734012603759766,-122.3909683227539,POINT (-122.3909683227539 37.734012603759766),86.0,,,,,,9.0,2.0
2024/05/17 06:00:00 PM,2024/05/17,06:00 PM,2024,Friday,2024/05/17 06:50:00 PM,139126204012,1391262,240310875,241382825.0,II,Initial,,4012,Assault,Aggravated Assault,"Assault, Aggravated, W/ Knife",Open or Active,03RD ST \ MENDELL ST \ PALOU AVE,33269000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.734012603759766,-122.3909683227539,POINT (-122.3909683227539 37.734012603759766),86.0,,,,,,9.0,2.0
2024/05/16 04:15:00 PM,2024/05/16,04:15 PM,2024,Thursday,2024/05/17 04:18:00 PM,139165706244,1391657,240308416,,IS,Coplogic Supplement,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BEACH ST \ LARKIN ST,25586000.0,Central,Russian Hill,2.0,2.0,37.806434631347656,-122.42219543457033,POINT (-122.42219543457031 37.806434631347656),98.0,,,,,,6.0,6.0
2024/08/30 04:30:00 PM,2024/08/30,04:30 PM,2024,Friday,2024/09/08 05:17:00 PM,142247306363,1422473,240565917,242522134.0,II,Initial,,6363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Open or Active,GEARY ST \ STOCKTON ST,24901000.0,Central,Financial District/South Beach,3.0,3.0,37.78756713867188,-122.4065933227539,POINT (-122.4065933227539 37.787567138671875),19.0,,,,,,3.0,6.0
2024/09/09 03:30:00 PM,2024/09/09,03:30 PM,2024,Monday,2024/09/09 07:10:00 PM,142269104014,1422691,240568187,242532549.0,II,Initial,,4014,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",Open or Active,EVANS AVE \ MENDELL ST,20203000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.74089813232422,-122.38470458984376,POINT (-122.38470458984375 37.74089813232422),76.0,,,,,,9.0,2.0
2024/05/24 03:00:00 PM,2024/05/24,03:00 PM,2024,Friday,2024/05/24 05:40:00 PM,139313806373,1393138,240326565,241452384.0,II,Initial,,6373,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $200-$950",Open or Active,OFARRELL ST \ POWELL ST,24904000.0,Tenderloin,Tenderloin,3.0,3.0,37.78641128540039,-122.40803527832033,POINT (-122.40803527832031 37.78641128540039),19.0,,,,,,3.0,6.0
2024/05/03 03:40:00 PM,2024/05/03,03:40 PM,2024,Friday,2024/05/21 11:56:00 AM,139220507100,1392205,240318647,241421334.0,II,Initial,,7100,Vandalism,Vandalism,"Vehicle, Tampering",Open or Active,RUTLAND ST \ VISITACION AVE,20349000.0,Ingleside,Visitacion Valley,10.0,10.0,37.7114486694336,-122.40792846679688,POINT (-122.40792846679688 37.711448669433594),75.0,,,,,,9.0,9.0
2024/05/22 03:19:00 PM,2024/05/22,03:19 PM,2024,Wednesday,2024/05/22 03:19:00 PM,139255906362,1392559,240321703,241432098.0,II,Initial,,6362,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $50-$200",Cite or Arrest Adult,OFARRELL ST \ POWELL ST,24904000.0,Central,Tenderloin,3.0,3.0,37.78641128540039,-122.40803527832033,POINT (-122.40803527832031 37.78641128540039),19.0,,,,,,3.0,6.0
2024/05/21 04:55:00 PM,2024/05/21,04:55 PM,2024,Tuesday,2024/05/21 04:59:00 PM,139229906363,1392299,240319429,241422363.0,II,Initial,,6363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Cite or Arrest Adult,OFARRELL ST \ POWELL ST,24904000.0,Central,Tenderloin,3.0,3.0,37.78641128540039,-122.40803527832033,POINT (-122.40803527832031 37.78641128540039),19.0,,,,,,3.0,6.0
2024/01/02 04:17:00 PM,2024/01/02,04:17 PM,2024,Tuesday,2024/01/02 04:20:00 PM,135230404134,1352304,240003478,240022025.0,II,Initial,,4134,Assault,Simple Assault,Battery,Open or Active,OFARRELL ST \ LARKIN ST,25152000.0,Tenderloin,Tenderloin,5.0,6.0,37.78516721373892,-122.4179014113026,POINT (-122.41790141130261 37.785167213738916),20.0,,1.0,,,,10.0,5.0
2024/01/02 06:08:00 AM,2024/01/02,06:08 AM,2024,Tuesday,2024/01/02 06:09:00 AM,135219104134,1352191,240002301,240020356.0,II,Initial,,4134,Assault,Simple Assault,Battery,Open or Active,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,8.0,37.76088893209152,-122.4350007026991,POINT (-122.4350007026991 37.76088893209152),38.0,,,,5.0,,5.0,3.0
2024/01/02 04:10:00 PM,2024/01/02,04:10 PM,2024,Tuesday,2024/01/02 04:10:00 PM,135228604014,1352286,240001234,240011764.0,IS,Initial Supplement,,4014,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",Cite or Arrest Adult,GEARY BLVD \ DIVISADERO ST,26621000.0,Northern,Japantown,5.0,5.0,37.78330848665904,-122.43948038238112,POINT (-122.43948038238113 37.78330848665904),13.0,,,,,,11.0,4.0
2024/09/11 04:15:00 PM,2024/09/11,04:15 PM,2024,Wednesday,2024/09/11 05:02:00 PM,142327006302,1423270,240572382,242552448.0,II,Initial,,6302,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, $50-$200",Open or Active,FILLMORE ST \ GEARY BLVD,26590000.0,Northern,Western Addition,5.0,5.0,37.78435516357422,-122.43291473388672,POINT (-122.43291473388672 37.78435516357422),103.0,,,,,,11.0,4.0
2024/09/11 04:48:00 PM,2024/09/11,04:48 PM,2024,Wednesday,2024/09/11 05:22:00 PM,142334506363,1423345,240572564,242552531.0,II,Initial,,6363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Cite or Arrest Adult,OFARRELL ST \ POWELL ST,24904000.0,Central,Tenderloin,3.0,3.0,37.78641128540039,-122.40803527832033,POINT (-122.40803527832031 37.78641128540039),19.0,,,,,,3.0,6.0
2024/09/10 05:30:00 PM,2024/09/10,05:30 PM,2024,Tuesday,2024/09/11 02:18:00 PM,142326406113,1423264,240572047,242551925.0,II,Initial,,6113,Larceny Theft,Larceny Theft - Pickpocket,"Theft, Pickpocket, $200-$950",Open or Active,LEAVENWORTH ST \ TURK ST,24934000.0,Tenderloin,Tenderloin,5.0,6.0,37.78279495239258,-122.41405487060548,POINT (-122.41405487060547 37.78279495239258),20.0,,1.0,1.0,1.0,,10.0,5.0
2024/09/10 07:00:00 AM,2024/09/10,07:00 AM,2024,Tuesday,2024/09/11 10:16:00 AM,142314171013,1423141,240571447,242551087.0,VI,Vehicle Initial,,71013,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",Open or Active,MOSCOW ST \ PERSIA AVE,21628000.0,Ingleside,Excelsior,11.0,11.0,37.71971130371094,-122.42880249023438,POINT (-122.42880249023438 37.71971130371094),90.0,,,,,,1.0,9.0
2024/05/23 06:00:00 PM,2024/05/23,06:00 PM,2024,Thursday,2024/05/23 06:00:00 PM,139289119095,1392891,240324371,241442824.0,II,Initial,,19095,Disorderly Conduct,Drug Violation,"Drugs, Under Influence  in a Public Place",Cite or Arrest Adult,EDDY ST \ LARKIN ST,25148000.0,Tenderloin,Tenderloin,5.0,6.0,37.78330993652344,-122.4175262451172,POINT (-122.41752624511719 37.78330993652344),20.0,,1.0,1.0,,,10.0,5.0
2024/01/01 04:00:00 PM,2024/01/01,04:00 PM,2024,Monday,2024/01/03 02:34:00 PM,135258606303,1352586,240005480,240031723.0,II,Initial,,6303,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, $200-$950",Open or Active,20TH AVE \ WINSTON DR,33719000.0,Taraval,Lakeshore,7.0,7.0,37.72694991292525,-122.47603947349434,POINT (-122.47603947349434 37.72694991292525),41.0,,,,,,8.0,10.0
2024/01/03 03:00:00 PM,2024/01/03,03:00 PM,2024,Wednesday,2024/01/03 05:09:00 PM,135265006244,1352650,240005979,240032207.0,II,Initial,,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,20TH AVE \ WINSTON DR,33719000.0,Taraval,Lakeshore,7.0,7.0,37.72694991292525,-122.47603947349434,POINT (-122.47603947349434 37.72694991292525),41.0,,,,,,8.0,10.0
2024/05/23 04:23:00 PM,2024/05/23,04:23 PM,2024,Thursday,2024/05/23 04:23:00 PM,139286204136,1392862,240313493,241400117.0,IS,Initial Supplement,,4136,Assault,Simple Assault,Battery with Serious Injuries,Cite or Arrest Adult,LEAVENWORTH ST \ TURK ST,24934000.0,Tenderloin,Tenderloin,5.0,6.0,37.78279495239258,-122.41405487060548,POINT (-122.41405487060547 37.78279495239258),20.0,,1.0,1.0,1.0,,10.0,5.0
2024/05/23 03:07:00 PM,2024/05/23,03:07 PM,2024,Thursday,2024/05/23 03:22:00 PM,139291019024,1392910,240323947,241442159.0,II,Initial,,19024,Disorderly Conduct,Disorderly Conduct,"Disturbing The Peace, Fighting",Cite or Arrest Adult,GEARY ST \ LARKIN ST,25170000.0,Northern,Tenderloin,3.0,6.0,37.78610229492188,-122.4180908203125,POINT (-122.4180908203125 37.786102294921875),20.0,,,,,,10.0,6.0
