route_id,agency_id,route_short_name,route_long_name,route_url,route_desc,route_type,route_color,route_text_color,route_sort_order
55,SFMTA,55,DOGPATCH,https://SFMTA.com/55,5am-10pm daily,3,005B95 ,FFFFFF,
56,SFMTA,56,RUTLAND,https://SFMTA.com/56,7am-9pm daily,3,005B95 ,FFFFFF,
57,SFMTA,57,PARKMERCED,https://SFMTA.com/57,5am-10pm daily,3,005B95 ,FFFFFF,
58,SFMTA,58,LAKE MERCED,https://SFMTA.com/58,Weekdays 5am-10pm Weekends 6am-10pm,3,005B95 ,FFFFFF,
5R,SFMTA,5R,FULTON RAPID,https://SFMTA.com/5R,Weekdays 7am-7pm,3,BF2B45 ,FFFFFF,
6,SFMTA,6,HAIGHT-PARNASSUS,https://SFMTA.com/6,5am-10pm daily,3,005B95 ,FFFFFF,
66,SFMTA,66,QUINTARA,https://SFMTA.com/66,Weekdays 6am-10pm Weekends 8am-10pm,3,005B95 ,FFFFFF,
67,SFMTA,67,BERNAL HEIGHTS,https://SFMTA.com/67,Weekdays 5am-10pm Weekends 6am-10pm,3,005B95 ,FFFFFF,
7,SFMTA,7,HAIGHT-NORIEGA,https://SFMTA.com/7,5am-10pm daily,3,005B95 ,FFFFFF,
714,SFMTA,714,BART EARLY BIRD,https://SFMTA.com/714,Weekdays 4am-5am,3,005B95 ,FFFFFF,
8,SFMTA,8,BAYSHORE,https://SFMTA.com/8,5am-12 midnight daily,3,005B95 ,FFFFFF,
8AX,SFMTA,8AX,BAYSHORE A EXPRESS,https://SFMTA.com/8AX,Weekdays 6:30-9:30am (northbound) 3:30-6:50pm (southbound),3,005B95 ,FFFFFF,
8BX,SFMTA,8BX,BAYSHORE B EXPRESS,https://SFMTA.com/8BX,Weekdays 6:30-9am (northbound) 3:30-6:30pm (southbound),3,005B95 ,FFFFFF,
9,SFMTA,9,SAN BRUNO,https://SFMTA.com/9,5am-12 midnight daily,3,005B95 ,FFFFFF,
90,SFMTA,90,SAN BRUNO OWL,https://SFMTA.com/90,12 midnight-5am daily,3,666666 ,FFFFFF,
91,SFMTA,91,3RD-19TH AVE OWL,https://SFMTA.com/91,12 midnight-5am daily,3,666666 ,FFFFFF,
9R,SFMTA,9R,SAN BRUNO RAPID,https://SFMTA.com/9R,Weekdays 7am-6pm,3,BF2B45 ,FFFFFF,
CA,SFMTA,CA,CALIFORNIA STREET CABLE CAR,https://SFMTA.com/CA,7 am-8:30 pm daily,5,B49A36 ,000000,
F,SFMTA,F,MARKET & WHARVES,https://SFMTA.com/F,7am-10pm daily,0,B49A36 ,000000,
J,SFMTA,J,CHURCH,https://SFMTA.com/J,5am-12 midnight daily,0,A96614 ,FFFFFF,
K,SFMTA,K,INGLESIDE,https://SFMTA.com/K,5am-12 midnight daily,0,000000 ,FFFFFF,
KBUS,SFMTA,KBUS,INGLESIDE BUS,https://SFMTA.com/KBUS,Weekdays 5am-6am Weekends 5am-8am,3,437C93 ,FFFFFF,
LOWL,SFMTA,LOWL,OWL TARAVAL,https://SFMTA.com/LOWL,10pm-5am nightly,3,666666 ,FFFFFF,
M,SFMTA,M,OCEAN VIEW,https://SFMTA.com/M,Weekdays 6am-12 midnight Weekends 8am-12 midnight,0,008547 ,FFFFFF,
N,SFMTA,N,JUDAH,https://SFMTA.com/N,Weekdays 6am-12 midnight Weekends 8am-12 midnight,0,005B95 ,FFFFFF,
NBUS,SFMTA,NBUS,JUDAH BUS,https://SFMTA.com/NBUS,Weekdays 5am-6am Weekends 5am-8am,3,005B95 ,FFFFFF,
NOWL,SFMTA,NOWL,OWL JUDAH,https://SFMTA.com/NOWL,12 midnight-5am nightly,3,666666 ,FFFFFF,
PH,SFMTA,PH,POWELL-HYDE CABLE CAR,https://SFMTA.com/PH,7 am-10 pm daily,5,B49A36 ,000000,
PM,SFMTA,PM,POWELL-MASON CABLE CAR,https://SFMTA.com/PM,7 am-10 pm daily,5,B49A36 ,000000,
T,SFMTA,T,THIRD,https://SFMTA.com/T,Weekends 8 am-11:30 pm,0,BF2B45 ,FFFFFF,
TBUS,SFMTA,TBUS,THIRD BUS,https://SFMTA.com/TBUS,Weekdays 5am-6am Weekends 5am-8am,3,BF2B45 ,FFFFFF,
FBUS,SFMTA,FBUS,MARKET & WHARVES,http://www.sfmta.com/FBUS,,0,B49A36,000000,
L,SFMTA,L,TARAVAL,https://SFMTA.com/L,5am-10 pm daily,0,942D83 ,FFFFFF,
30X,SFMTA,30X,MARINA EXPRESS,http://www.sfmta.com/30X,7 am-9 am Weekdays,3,005B95 ,FFFFFF,
