Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A14006_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007,PCT_SE_A10030_002,PCT_SE_A10030_003,PCT_SE_A10030_004,PCT_SE_A10030_005,PCT_SE_A10030_006,PCT_SE_A10030_007,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007,PCT_SE_A10054B_002,PCT_SE_A10054B_003,PCT_SE_A10054B_004,PCT_SE_A10054B_005,PCT_SE_A10054B_006,PCT_SE_A10054B_007,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,PCT_SE_A13003B_002,PCT_SE_A13003B_003,SE_A14010_001
"06075010702","Census Tract 107.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010702","Census Tract 107.02",,,,1380,1380,357,0,37,692,0,197,97,25.87,0,2.68,50.14,0,14.28,7.03,80472,549,82,173,14.94,31.51,170,107,63,62.94,37.06,674,311,280,83,0,0,0,46.14,41.54,12.31,0,0,0,549,303,215,31,0,0,0,55.19,39.16,5.65,0,0,0,974,238,736,24.44,75.56,
"06075010800","Census Tract 108, San Francisco County, California","ca","140","00",,,,"06","075",,,"010800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010800","Census Tract 108",,,,4334,4334,2089,377,0,1416,0,201,251,48.2,8.7,0,32.67,0,4.64,5.79,150298,1911,368,298,19.26,15.59,86,0,86,0,100,2382,684,1203,423,72,0,0,28.72,50.5,17.76,3.02,0,0,1911,561,983,350,17,0,0,29.36,51.44,18.32,0.89,0,0,3250,318,2932,9.78,90.22,199219
"06075010901","Census Tract 109.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010901","Census Tract 109.01",,,,2069,2069,1400,9,27,364,0,25,244,67.67,0.43,1.3,17.59,0,1.21,11.79,190139,818,107,73,13.08,8.92,131,0,131,0,100,1071,400,481,136,54,0,0,37.35,44.91,12.7,5.04,0,0,818,347,341,94,36,0,0,42.42,41.69,11.49,4.4,0,0,1625,13,1612,0.8,99.2,250001
"06075010902","Census Tract 109.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010902","Census Tract 109.02",,,,2568,2568,1723,0,0,407,0,96,342,67.1,0,0,15.85,0,3.74,13.32,141591,1310,266,246,20.31,18.78,171,36,135,21.05,78.95,1452,889,436,111,16,0,0,61.23,30.03,7.64,1.1,0,0,1310,877,338,79,16,0,0,66.95,25.8,6.03,1.22,0,0,1992,170,1822,8.53,91.47,179297
"06075011001","Census Tract 110.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"011001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011001","Census Tract 110.01",,,,2327,2327,1491,0,0,781,0,45,10,64.07,0,0,33.56,0,1.93,0.43,117750,1093,190,170,17.38,15.55,100,0,100,0,100,1405,714,499,148,44,0,0,50.82,35.52,10.53,3.13,0,0,1093,654,315,80,44,0,0,59.84,28.82,7.32,4.03,0,0,1747,240,1507,13.74,86.26,
"06075011002","Census Tract 110.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"011002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011002","Census Tract 110.02",,,,1755,1755,725,0,0,695,0,122,213,41.31,0,0,39.6,0,6.95,12.14,155575,772,38,261,4.92,33.81,123,0,123,0,100,1129,382,648,99,0,0,0,33.84,57.4,8.77,0,0,0,772,369,355,48,0,0,0,47.8,45.98,6.22,0,0,0,1382,0,1382,0,100,156714
"06075011101","Census Tract 111.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"011101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011101","Census Tract 111.01",,,,2470,2470,1236,76,0,967,0,18,173,50.04,3.08,0,39.15,0,0.73,7,112418,1319,225,241,17.06,18.27,140,0,140,0,100,1473,798,590,85,0,0,0,54.18,40.05,5.77,0,0,0,1319,770,476,73,0,0,0,58.38,36.09,5.53,0,0,0,1837,142,1695,7.73,92.27,121820
"06075011102","Census Tract 111.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"011102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011102","Census Tract 111.02",,,,2205,2205,731,244,5,894,0,203,128,33.15,11.07,0.23,40.54,0,9.21,5.8,101976,1218,340,195,27.91,16.01,116,0,116,0,100,1312,951,344,17,0,0,0,72.48,26.22,1.3,0,0,0,1218,900,301,17,0,0,0,73.89,24.71,1.4,0,0,0,1656,62,1594,3.74,96.26,151461
"06075011200","Census Tract 112, San Francisco County, California","ca","140","00",,,,"06","075",,,"011200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011200","Census Tract 112",,,,2678,2678,1382,50,0,974,0,55,217,51.61,1.87,0,36.37,0,2.05,8.1,118347,1271,192,245,15.11,19.28,166,55,111,33.13,66.87,1633,927,560,136,10,0,0,56.77,34.29,8.33,0.61,0,0,1271,828,363,80,0,0,0,65.15,28.56,6.29,0,0,0,1826,205,1621,11.23,88.77,183182
"06075011300","Census Tract 113, San Francisco County, California","ca","140","00",,,,"06","075",,,"011300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011300","Census Tract 113",,,,2518,2518,563,48,0,1797,0,13,97,22.36,1.91,0,71.37,0,0.52,3.85,35507,1203,319,280,26.52,23.28,157,46,111,29.3,70.7,1333,854,422,49,8,0,0,64.07,31.66,3.68,0.6,0,0,1203,803,343,49,8,0,0,66.75,28.51,4.07,0.67,0,0,1586,374,1212,23.58,76.42,36588
"06075011700","Census Tract 117, San Francisco County, California","ca","140","00",,,,"06","075",,,"011700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011700","Census Tract 117",,,,1947,1947,841,57,0,633,0,146,270,43.19,2.93,0,32.51,0,7.5,13.87,51964,983,177,259,18.01,26.35,207,108,99,52.17,47.83,1111,830,248,16,0,17,0,74.71,22.32,1.44,0,1.53,0,983,780,170,16,0,17,0,79.35,17.29,1.63,0,1.73,0,1386,244,1142,17.6,82.4,98398
"06075011800","Census Tract 118, San Francisco County, California","ca","140","00",,,,"06","075",,,"011800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011800","Census Tract 118",,,,1635,1635,136,30,0,1373,0,6,90,8.32,1.83,0,83.98,0,0.37,5.5,43833,712,172,211,24.16,29.63,134,67,67,50,50,716,533,151,23,9,0,0,74.44,21.09,3.21,1.26,0,0,712,529,151,23,9,0,0,74.3,21.21,3.23,1.26,0,0,1020,247,773,24.22,75.78,50033
"06075011901","Census Tract 119.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"011901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011901","Census Tract 119.01",,,,2084,2084,942,57,0,645,11,240,189,45.2,2.74,0,30.95,0.53,11.52,9.07,101827,1005,195,139,19.4,13.83,127,13,114,10.24,89.76,1217,796,398,11,12,0,0,65.41,32.7,0.9,0.99,0,0,1005,737,255,1,12,0,0,73.33,25.37,0.1,1.19,0,0,1489,142,1347,9.54,90.46,214628
"06075011902","Census Tract 119.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"011902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011902","Census Tract 119.02",,,,2732,2732,1204,69,9,975,0,333,142,44.07,2.53,0.33,35.69,0,12.19,5.2,77241,1592,398,296,25,18.59,93,9,84,9.68,90.32,1678,1152,384,130,12,0,0,68.65,22.88,7.75,0.72,0,0,1592,1137,359,84,12,0,0,71.42,22.55,5.28,0.75,0,0,2058,175,1883,8.5,91.5,51563
"06075012001","Census Tract 120.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"012001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012001","Census Tract 120.01",,,,1738,1738,665,12,0,330,0,257,474,38.26,0.69,0,18.99,0,14.79,27.27,91040,910,408,191,44.84,20.99,107,0,107,0,100,1004,602,260,12,130,0,0,59.96,25.9,1.2,12.95,0,0,910,566,214,0,130,0,0,62.2,23.52,0,14.29,0,0,1386,81,1305,5.84,94.16,
"06075012002","Census Tract 120.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"012002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012002","Census Tract 120.02",,,,2035,2035,652,157,0,703,0,201,322,32.04,7.71,0,34.55,0,9.88,15.82,71619,1183,322,262,27.22,22.15,75,0,75,0,100,1359,874,465,20,0,0,0,64.31,34.22,1.47,0,0,0,1183,862,301,20,0,0,0,72.87,25.44,1.69,0,0,0,1759,291,1468,16.54,83.46,95833
