df_index,df2_index,df_coordinates,df2_coordinates,latitude,longitude,df2_latitude,df2_longitude
592,911,"(37.804557, -122.443892)","(np.float64(37.80453530463669), np.float64(-122.44385890962832))",37.804557,-122.443892,37.80453530463669,-122.44385890962832
594,21915,"(37.787738, -122.443634)","(np.float64(37.787753740707466), np.float64(-122.4436365547854))",37.787738,-122.443634,37.787753740707466,-122.4436365547854
601,14013,"(37.78763, -122.42154)","(np.float64(37.787650576630334), np.float64(-122.42152098844753))",37.78763,-122.42154,37.787650576630334,-122.42152098844753
603,3714,"(37.72382, -122.43589)","(np.float64(37.723785724279935), np.float64(-122.4358667086338))",37.72382,-122.43589,37.723785724279935,-122.4358667086338
607,24307,"(37.788429, -122.415269)","(np.float64(37.78843859618418), np.float64(-122.41531483352055))",37.788429,-122.415269,37.78843859618418,-122.41531483352055
613,10890,"(37.742159, -122.426369)","(np.float64(37.74217653619721), np.float64(-122.42636162024748))",37.742159,-122.426369,37.74217653619721,-122.42636162024748
617,5658,"(37.79418, -122.400282)","(np.float64(37.79416640039872), np.float64(-122.400298628268))",37.79418,-122.400282,37.79416640039872,-122.400298628268
625,24432,"(37.777875, -122.393908)","(np.float64(37.77788651871445), np.float64(-122.39387641662898))",37.777875,-122.393908,37.77788651871445,-122.39387641662898
649,10343,"(37.752853, -122.409281)","(np.float64(37.75285143851273), np.float64(-122.40929911232678))",37.752853,-122.409281,37.75285143851273,-122.40929911232678
651,16326,"(37.785353, -122.462292)","(np.float64(37.78536835716564), np.float64(-122.46231950224464))",37.785353,-122.462292,37.78536835716564,-122.46231950224464
681,18822,"(37.76204, -122.466241)","(np.float64(37.7620253643648), np.float64(-122.46625215208546))",37.76204,-122.466241,37.7620253643648,-122.46625215208546
688,13575,"(37.793411, -122.406306)","(np.float64(37.79340415802943), np.float64(-122.40627870371512))",37.793411,-122.406306,37.79340415802943,-122.40627870371512
720,24032,"(37.775989, -122.489912)","(np.float64(37.775975896922674), np.float64(-122.48994567763742))",37.775989,-122.489912,37.775975896922674,-122.48994567763742
727,13175,"(37.79381, -122.40779)","(np.float64(37.793781168770174), np.float64(-122.407764029235))",37.79381,-122.40779,37.793781168770174,-122.407764029235
733,12746,"(37.780167, -122.48243)","(np.float64(37.780180436418775), np.float64(-122.4824334086557))",37.780167,-122.48243,37.780180436418775,-122.4824334086557
742,23914,"(37.776429, -122.480273)","(np.float64(37.77641636495672), np.float64(-122.4802955450436))",37.776429,-122.480273,37.77641636495672,-122.4802955450436
757,24053,"(37.781502, -122.493515)","(np.float64(37.78151484365891), np.float64(-122.49352260360456))",37.781502,-122.493515,37.78151484365891,-122.49352260360456
765,15673,"(37.782242, -122.449992)","(np.float64(37.78227238878413), np.float64(-122.45001677803488))",37.782242,-122.449992,37.78227238878413,-122.45001677803488
771,20447,"(37.772033, -122.430347)","(np.float64(37.77205466300634), np.float64(-122.43030830073334))",37.772033,-122.430347,37.77205466300634,-122.43030830073334
772,2750,"(37.71128, -122.46198)","(np.float64(37.71124664999957), np.float64(-122.4620069728827))",37.71128,-122.46198,37.71124664999957,-122.4620069728827
774,17000,"(37.79242, -122.4142)","(np.float64(37.79243471875842), np.float64(-122.41423391650544))",37.79242,-122.4142,37.79243471875842,-122.41423391650544
777,18350,"(37.764762, -122.401516)","(np.float64(37.76473165309867), np.float64(-122.40149358002098))",37.764762,-122.401516,37.76473165309867,-122.40149358002098
787,11656,"(37.735796, -122.392175)","(np.float64(37.73578810175916), np.float64(-122.39218352484023))",37.735796,-122.392175,37.73578810175916,-122.39218352484023
792,20749,"(37.777557, -122.455035)","(np.float64(37.77753586288115), np.float64(-122.45506217206564))",37.777557,-122.455035,37.77753586288115,-122.45506217206564
